OID_,ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,D2_NO2,D5_NO2,D2_DWATER,D5_DWATER,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_DISABILITYPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,P_NO2,P_DWATER,P_D2_PM25,P_D5_PM25,P_D2_OZONE,P_D5_OZONE,P_D2_DSLPM,P_D5_DSLPM,P_D2_RSEI_AIR,P_D5_RSEI_AIR,P_D2_PTRAF,P_D5_PTRAF,P_D2_LDPNT,P_D5_LDPNT,P_D2_PNPL,P_D5_PNPL,P_D2_PRMP,P_D5_PRMP,P_D2_PTSDF,P_D5_PTSDF,P_D2_UST,P_D5_UST,P_D2_PWDIS,P_D5_PWDIS,P_D2_NO2,P_D5_NO2,P_D2_DWATER,P_D5_DWATER,B_DEMOGIDX_2,B_DEMOGIDX_5,B_PEOPCOLORPCT,B_LOWINCPCT,B_UNEMPPCT,B_DISABILITYPCT,B_LINGISOPCT,B_LESSHSPCT,B_UNDER5PCT,B_OVER64PCT,B_LIFEEXPPCT,B_PM25,B_OZONE,B_DSLPM,B_RSEI_AIR,B_PTRAF,B_LDPNT,B_PNPL,B_PRMP,B_PTSDF,B_UST,B_PWDIS,B_NO2,B_DWATER,B_D2_PM25,B_D5_PM25,B_D2_OZONE,B_D5_OZONE,B_D2_DSLPM,B_D5_DSLPM,B_D2_RSEI_AIR,B_D5_RSEI_AIR,B_D2_PTRAF,B_D5_PTRAF,B_D2_LDPNT,B_D5_LDPNT,B_D2_PNPL,B_D5_PNPL,B_D2_PRMP,B_D5_PRMP,B_D2_PTSDF,B_D5_PTSDF,B_D2_UST,B_D5_UST,B_D2_PWDIS,B_D5_PWDIS,B_D2_NO2,B_D5_NO2,B_D2_DWATER,B_D5_DWATER,T_DEMOGIDX_2,T_DEMOGIDX_5,T_PEOPCOLORPCT,T_LOWINCPCT,T_UNEMPPCT,T_DISABILITYPCT,T_LINGISOPCT,T_LESSHSPCT,T_UNDER5PCT,T_OVER64PCT,T_LIFEEXPPCT,T_PM25,T_OZONE,T_DSLPM,T_RSEI_AIR,T_PTRAF,T_LDPNT,T_PNPL,T_PRMP,T_PTSDF,T_UST,T_PWDIS,T_NO2,T_DWATER,T_D2_PM25,T_D5_PM25,T_D2_OZONE,T_D5_OZONE,T_D2_DSLPM,T_D5_DSLPM,T_D2_RSEI_AIR,T_D5_RSEI_AIR,T_D2_PTRAF,T_D5_PTRAF,T_D2_LDPNT,T_D5_LDPNT,T_D2_PNPL,T_D5_PNPL,T_D2_PRMP,T_D5_PRMP,T_D2_PTSDF,T_D5_PTSDF,T_D2_UST,T_D5_UST,T_D2_PWDIS,T_D5_PWDIS,T_D2_NO2,T_D5_NO2,T_D2_DWATER,T_D5_DWATER,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,EXCEED_COUNT_80_SUP,Shape_Length,Shape_Area
52791,36067004301,NEW YORK,NY,Onondaga County,2,1611,668,582,486,626,438,1580,3.362143460221902,2.996990654723499,831,0.515828678,617,0.923652695,51,0.116438356,270,0.170886076,30,0.061728395,167,0.286941581,43,0.026691496,146,0.09062694,0.243076923,6.753412295081970,55.819940000000003,0.242129848,1288.721397000000024,3887369.632167708594352,252.000000000000000,0.402555911,0.35380217,0.433806647,13.205612082542260,13.443405399543597,175.051813366794676,17.091875076293945,0,47.070008443106637,41.957869166128987,87.415729965769458,77.921757022810965,248.798616056420769,221.777308449538907,215.177181454201758,191.807401902303923,292.506481039305527,260.738186960944404,235.350042215533165,209.789345830644919,265.609333357530318,236.762261723156399,201.728607613314153,179.819439283409935,312.679341800636905,278.720130889285372,312.679341800636905,278.720130889285372,198.366464153092238,176.822448628686431,329.490059101746454,293.705084162902892,0,0,96,96,66,99,90,74,78,93,15,14,88,14,26,74,64,87,70,79,60,93,93,59,98,0,44,32,67,58,95,95,93,92,98,98,94,94,97,97,89,89,99,98,99,98,91,91,99,98,0,0,11,11,7,11,10,8,8,10,2,2,9,2,3,8,7,9,8,8,7,10,10,6,11,1,5,4,7,6,11,11,10,10,11,11,10,10,11,11,9,9,11,11,11,11,10,10,11,11,1,1,96 %ile,96 %ile,66 %ile,99 %ile,90 %ile,74 %ile,78 %ile,93 %ile,15 %ile,14 %ile,88 %ile,14 %ile,26 %ile,74 %ile,64 %ile,87 %ile,70 %ile,79 %ile,60 %ile,93 %ile,93 %ile,59 %ile,98 %ile,0 %ile,44 %ile,32 %ile,67 %ile,58 %ile,95 %ile,95 %ile,93 %ile,92 %ile,98 %ile,98 %ile,94 %ile,94 %ile,97 %ile,97 %ile,89 %ile,89 %ile,99 %ile,98 %ile,99 %ile,98 %ile,91 %ile,91 %ile,99 %ile,98 %ile,0 %ile,0 %ile,359064.000000000000000,0,0,2,10,10,0.032950614,3.96623E-05
52792,36067004302,NEW YORK,NY,Onondaga County,2,7415,1158,550,683,1031,2163,7386,2.805845028670380,2.111265027618354,2801,0.377747808,930,0.803108808,346,0.159963014,383,0.051854861,85,0.124450952,52,0.094545455,0,0,146,0.019689818,,6.749057103825140,55.856529999999999,0.242082099,1256.877436291217464,2599862.345405357424170,313.000000000000000,0.303588749,0.309741326,0.415982132,12.547474611372010,6.900921723260591,150.051287053657205,14.860597857982588,0,39.281830401385314,29.557710386656957,75.757815774100251,57.004155745695563,207.632532121608079,156.233612043758200,176.768236806233915,133.009696739956325,221.661757264959988,166.789937181849979,171.156546748893163,128.787166684719608,216.050067207619236,162.567407126613261,165.544856691552383,124.564636629482905,260.943587666345309,196.347647568506943,238.496827436982272,179.457527347560102,162.739011662882007,122.453371601864546,269.361122752356437,202.681442651362005,0,0,90,78,55,98,96,6,89,54,0,2,,14,27,74,63,79,61,77,59,93,85,58,96,0,38,24,62,43,91,86,89,81,92,88,87,77,93,89,84,77,96,93,94,89,86,78,96,92,0,0,10,8,6,11,11,1,9,6,1,1,,2,3,8,7,8,7,8,6,10,9,6,11,1,4,3,7,5,10,9,9,9,10,9,9,8,10,9,9,8,11,10,10,9,9,8,11,10,1,1,90 %ile,78 %ile,55 %ile,98 %ile,96 %ile,6 %ile,89 %ile,54 %ile,0 %ile,2 %ile,,14 %ile,27 %ile,74 %ile,63 %ile,79 %ile,61 %ile,77 %ile,59 %ile,93 %ile,85 %ile,58 %ile,96 %ile,0 %ile,38 %ile,24 %ile,62 %ile,43 %ile,91 %ile,86 %ile,89 %ile,81 %ile,92 %ile,88 %ile,87 %ile,77 %ile,93 %ile,89 %ile,84 %ile,77 %ile,96 %ile,93 %ile,94 %ile,89 %ile,86 %ile,78 %ile,96 %ile,92 %ile,0 %ile,0 %ile,1197479.000000000000000,0,0,2,10,7,0.073957569,0.000132278
52793,36067004401,NEW YORK,NY,Onondaga County,2,3014,3012,1674,1261,1582,1813,3013,1.930338863929630,1.496412934984409,880,0.291970803,1605,0.532868526,109,0.060121346,232,0.076999668,23,0.018239492,102,0.0609319,252,0.083609821,301,0.099867286,0.191794872,6.727404371584700,55.798009999999998,0.145129857,970.838489797348757,1890371.373840552754700,1253.000000000000000,0.792035398,0.23297242,0.38135171,6.576711378347504,0.998867554,118.836836087319796,12.101257261419786,0,25.094405231085187,19.453368154797321,50.188810462170373,38.906736309594642,86.865248876833334,67.338582074298415,113.889992971848159,88.288363164080153,137.054059339003715,106.245318383893064,181.451853209385206,140.662815888534482,138.984398202933335,107.741731318877470,110.029315243988890,85.295537294111327,162.148464570088890,125.698686538690382,92.656265468622223,71.827820879251647,108.098976380059270,83.799124359126921,169.869820025807428,131.684338278628019,0,0,71,49,45,87,64,16,54,36,85,18,48,13,26,45,59,71,94,72,57,84,48,56,88,0,26,16,48,30,64,53,77,63,78,72,88,81,82,76,73,61,84,79,68,54,74,60,84,79,0,0,8,5,5,9,7,2,6,4,9,2,5,2,3,5,6,8,10,8,6,9,5,6,9,1,3,2,5,4,7,6,8,7,8,8,9,9,9,8,8,7,9,8,7,6,8,7,9,8,1,1,71 %ile,49 %ile,45 %ile,87 %ile,64 %ile,16 %ile,54 %ile,36 %ile,85 %ile,18 %ile,48 %ile,13 %ile,26 %ile,45 %ile,59 %ile,71 %ile,94 %ile,72 %ile,57 %ile,84 %ile,48 %ile,56 %ile,88 %ile,0 %ile,26 %ile,16 %ile,48 %ile,30 %ile,64 %ile,53 %ile,77 %ile,63 %ile,78 %ile,72 %ile,88 %ile,81 %ile,82 %ile,76 %ile,73 %ile,61 %ile,84 %ile,79 %ile,68 %ile,54 %ile,74 %ile,60 %ile,84 %ile,79 %ile,0 %ile,0 %ile,993751.000000000000000,0,0,0,4,1,0.048280416,0.000109761
52794,36067004500,NEW YORK,NY,Onondaga County,2,2166,2114,1237,808,1119,1383,2166,1.703103597623951,1.506102380489857,536,0.247460757,1007,0.476348155,106,0.076644975,271,0.12511542,6,0.007425743,42,0.033953112,131,0.060480148,124,0.057248384,0.191794872,6.736993715846990,55.881200000000000,0.145398491,1070.575127086726297,2070004.967507366323844,926.000000000000000,0.827524576,0.252765039,0.396822463,7.378313456451124,0.463089226,122.902985211523358,13.254703342253492,0,23.843450366735318,21.085433326858006,45.983797135846686,40.664764273226155,78.342765490701751,69.280709502533441,103.889319455061027,91.872245209881299,124.326562626548437,109.945473775759595,163.497945371899334,144.585828527026308,126.029666224172388,111.451576156249445,97.076905064565224,85.847835687921872,146.466909395659798,129.524804722127755,63.014833112086194,55.725788078124722,95.373801466941273,84.341733307432023,156.685530981403502,138.561419005066881,0,0,65,49,40,82,76,49,41,19,62,5,48,14,27,46,61,73,96,74,57,86,37,56,92,0,25,17,45,31,61,54,74,65,75,74,86,82,80,77,69,61,80,80,56,44,70,61,82,81,0,0,7,5,5,9,8,5,5,2,7,1,5,2,3,5,7,8,11,8,6,9,4,6,10,1,3,2,5,4,7,6,8,7,8,8,9,9,9,8,7,7,9,9,6,5,8,7,9,9,1,1,65 %ile,49 %ile,40 %ile,82 %ile,76 %ile,49 %ile,41 %ile,19 %ile,62 %ile,5 %ile,48 %ile,14 %ile,27 %ile,46 %ile,61 %ile,73 %ile,96 %ile,74 %ile,57 %ile,86 %ile,37 %ile,56 %ile,92 %ile,0 %ile,25 %ile,17 %ile,45 %ile,31 %ile,61 %ile,54 %ile,74 %ile,65 %ile,75 %ile,74 %ile,86 %ile,82 %ile,80 %ile,77 %ile,69 %ile,61 %ile,80 %ile,80 %ile,56 %ile,44 %ile,70 %ile,61 %ile,82 %ile,81 %ile,0 %ile,0 %ile,922766.000000000000000,0,0,0,4,3,0.04633047,0.000101933
52795,36067004600,NEW YORK,NY,Onondaga County,2,4840,4193,3514,2057,2264,2372,4651,0.883135482,0.816980323,1452,0.3,595,0.141903172,135,0.056913997,392,0.08428295,11,0.005347594,76,0.021627775,123,0.025413223,1227,0.253512397,0.156923077,6.708846994535520,55.894590000000001,0.145007211,803.291633257727995,1712525.069250257452950,1839.000000000000000,0.812279152,0.203672671,0.345310842,4.716506506354171,1.024077870017999,93.882246277683507,11.768656234926388,0,11.480761269466875,10.620744203373802,23.844658021200434,22.058468730084048,39.741096702000725,36.764114550140079,48.572451524667549,44.933917783504540,60.053212794134424,55.554661986878344,83.897870815334855,77.613130716962388,61.819483758667786,57.188622633551233,47.689316042400868,44.116937460168096,68.884567616801249,63.724465220242806,42.390503148800768,39.215055520149420,47.689316042400868,44.116937460168096,75.949651474934711,70.260307806934378,0,0,27,9,46,20,61,21,37,11,13,87,15,13,27,45,55,68,95,70,54,78,48,54,86,0,13,8,25,16,40,29,45,34,52,44,66,53,65,58,46,36,57,50,44,32,44,33,59,53,0,0,3,1,5,3,7,3,4,2,2,9,2,2,3,5,6,7,11,8,6,8,5,6,9,1,2,1,3,2,5,3,5,4,6,5,7,6,7,6,5,4,6,6,5,4,5,4,6,6,1,1,27 %ile,9 %ile,46 %ile,20 %ile,61 %ile,21 %ile,37 %ile,11 %ile,13 %ile,87 %ile,15 %ile,13 %ile,27 %ile,45 %ile,55 %ile,68 %ile,95 %ile,70 %ile,54 %ile,78 %ile,48 %ile,54 %ile,86 %ile,0 %ile,13 %ile,8 %ile,25 %ile,16 %ile,40 %ile,29 %ile,45 %ile,34 %ile,52 %ile,44 %ile,66 %ile,53 %ile,65 %ile,58 %ile,46 %ile,36 %ile,57 %ile,50 %ile,44 %ile,32 %ile,44 %ile,33 %ile,59 %ile,53 %ile,0 %ile,0 %ile,3834603.000000000000000,0,0,0,0,0,0.125582255,0.000423584
52796,36067004800,NEW YORK,NY,Onondaga County,2,1481,1481,1238,652,705,845,1481,0.570331365,1.152217085283972,146,0.098582039,222,0.149898717,11,0.013017751,201,0.135719109,0,0,60,0.048465267,40,0.027008778,355,0.239702903,0.182564103,6.747418032786880,55.477969999999999,0.066693154,1056.036426956328341,1399426.158594102365896,532.000000000000000,0.754609929,0.300608577,0.455543338,5.277955875902488,0.12891133,223.263283504551083,7.660776898209736,0,7.984639106750311,16.131039193975610,13.687952754429105,27.653210046815332,8.554970471518191,17.283256279259582,34.219881886072763,69.133025117038329,35.930875980376399,72.589676372890239,53.040816923412784,107.156188931409417,43.345183722358833,87.568498481581884,34.790213250840644,70.285242202322308,45.626509181430350,92.177366822717772,14.828615483964864,29.957644217383276,34.790213250840644,70.285242202322308,29.657230967929728,59.915288434766552,0,0,10,28,16,22,10,56,0,28,15,83,39,14,24,15,60,63,93,76,61,80,26,61,52,0,9,13,14,21,9,12,33,51,37,56,47,69,59,69,38,53,44,66,21,24,34,52,32,47,0,0,2,3,2,3,2,6,1,3,2,9,4,2,3,2,7,7,10,8,7,9,3,7,6,1,1,2,2,3,1,2,4,6,4,6,5,7,6,7,4,6,5,7,3,3,4,6,4,5,1,1,10 %ile,28 %ile,16 %ile,22 %ile,10 %ile,56 %ile,0 %ile,28 %ile,15 %ile,83 %ile,39 %ile,14 %ile,24 %ile,15 %ile,60 %ile,63 %ile,93 %ile,76 %ile,61 %ile,80 %ile,26 %ile,61 %ile,52 %ile,0 %ile,9 %ile,13 %ile,14 %ile,21 %ile,9 %ile,12 %ile,33 %ile,51 %ile,37 %ile,56 %ile,47 %ile,69 %ile,59 %ile,69 %ile,38 %ile,53 %ile,44 %ile,66 %ile,21 %ile,24 %ile,34 %ile,52 %ile,32 %ile,47 %ile,0 %ile,0 %ile,1175732.000000000000000,0,0,0,0,0,0.074314783,0.00012985
52797,36067004900,NEW YORK,NY,Onondaga County,2,1755,1752,1128,638,666,832,1742,1.561176949550170,1.297621714756580,799,0.455270655,520,0.296803653,50,0.060096154,212,0.121699196,7,0.010971787,44,0.039007092,244,0.139031339,261,0.148717949,0.187692308,6.741204371584700,55.619500000000002,0.104008601,1139.688144501930310,1549190.574995501898229,557.000000000000000,0.836336336,0.301612329,0.426327708,5.434345452002741,0,260.898645368071129,9.143088701609020,0,21.856477293702376,18.166704006592113,39.029423738754247,32.440542868914491,46.835308486505092,38.928651442697387,96.792970872110516,80.452546314907934,101.476501720761036,84.345411459177669,149.872987156816293,124.571684616631643,118.649448165812899,98.619250321500047,92.109440023460010,76.559681170638200,126.455332913563751,105.107358895282943,0,0,98.354147821660689,81.750168029664522,104.598855619861368,86.940654888690830,0,0,60,37,62,53,64,47,46,22,98,42,44,14,25,30,62,65,96,76,59,81,0,63,67,0,24,15,39,25,45,31,71,59,68,62,83,76,79,73,67,56,76,72,0,0,71,59,69,63,0,0,7,4,7,6,7,5,5,3,11,5,5,2,3,4,7,7,11,8,6,9,1,7,7,1,3,2,4,3,5,4,8,6,7,7,9,8,8,8,7,6,8,8,1,1,8,6,7,7,1,1,60 %ile,37 %ile,62 %ile,53 %ile,64 %ile,47 %ile,46 %ile,22 %ile,98 %ile,42 %ile,44 %ile,14 %ile,25 %ile,30 %ile,62 %ile,65 %ile,96 %ile,76 %ile,59 %ile,81 %ile,0 %ile,63 %ile,67 %ile,0 %ile,24 %ile,15 %ile,39 %ile,25 %ile,45 %ile,31 %ile,71 %ile,59 %ile,68 %ile,62 %ile,83 %ile,76 %ile,79 %ile,73 %ile,67 %ile,56 %ile,76 %ile,72 %ile,0 %ile,0 %ile,71 %ile,59 %ile,69 %ile,63 %ile,0 %ile,0 %ile,813472.000000000000000,57084.000000000000000,0,0,1,0,0.048750062,9.61431E-05
52798,36067005000,NEW YORK,NY,Onondaga County,2,2513,2513,1807,1122,1234,1385,2502,1.474138376927932,1.087634531981268,955,0.380023876,781,0.310783924,49,0.035379061,230,0.091926459,0,0,19,0.010514665,177,0.070433745,396,0.157580581,0.176410256,6.743322950819670,55.597239999999999,0.122632908,984.494684368360822,1611142.997397759929299,1078.000000000000000,0.873581848,0.288409907,0.378236285,5.622149065534355,0,232.704687195824249,9.645863117222390,0,20.637937276991050,15.226883447737753,36.853459423198302,27.190863299531703,54.543119946333491,40.242477683306923,86.974164238748003,64.170437386894818,97.293132877243522,71.783879110763692,144.465560938937358,106.588184134164280,112.034516646522846,82.660224430576378,82.551749107964199,60.907533790951014,119.405208531162501,88.098397090482720,0,0,91.396579369531793,67.433340982838629,104.663824761883177,77.222051770670035,0,0,57,24,55,56,37,26,0,5,74,47,33,14,25,37,59,66,98,76,56,81,0,62,71,0,22,12,37,20,50,32,67,48,67,55,82,68,77,67,64,47,74,64,0,0,68,50,69,57,0,0,6,3,6,6,4,3,1,1,8,5,4,2,3,4,6,7,11,8,6,9,1,7,8,1,3,2,4,3,6,4,7,5,7,6,9,7,8,7,7,5,8,7,1,1,7,6,7,6,1,1,57 %ile,24 %ile,55 %ile,56 %ile,37 %ile,26 %ile,0 %ile,5 %ile,74 %ile,47 %ile,33 %ile,14 %ile,25 %ile,37 %ile,59 %ile,66 %ile,98 %ile,76 %ile,56 %ile,81 %ile,0 %ile,62 %ile,71 %ile,0 %ile,22 %ile,12 %ile,37 %ile,20 %ile,50 %ile,32 %ile,67 %ile,48 %ile,67 %ile,55 %ile,82 %ile,68 %ile,77 %ile,67 %ile,64 %ile,47 %ile,74 %ile,64 %ile,0 %ile,0 %ile,68 %ile,50 %ile,69 %ile,57 %ile,0 %ile,0 %ile,1151593.000000000000000,45948.000000000000000,0,0,1,0,0.047575559,0.000132256
52799,36067005100,NEW YORK,NY,Onondaga County,2,2395,2395,1383,947,1113,1036,2395,3.205850206274802,2.349406515742082,1907,0.796242171,1663,0.694363257,88,0.084942085,203,0.084759916,86,0.090813094,183,0.132321041,261,0.108977035,232,0.096868476,0.265641026,6.733695901639340,55.626620000000003,0.094084098,846.042803859947526,1735166.820878276368603,854.000000000000000,0.767295597,0.262600145,0.328697089,5.623426354083013,0,181.960449095353027,10.166099548339844,0,44.881902887847218,32.891691220389156,80.146255156870041,58.735162893552065,83.352105363144844,61.084569409294147,179.527611551388873,131.566764881556622,217.997814026686513,159.759643070461607,298.144069183556553,218.494805964013665,237.232915264335304,173.856082164914113,169.910060932564477,124.518545334330369,259.673866708258913,190.301927775108680,0,0,192.351012376488086,140.964390944524951,243.644615676884911,178.554895196398263,0,0,95,85,83,96,80,21,84,68,95,17,95,14,25,26,56,68,93,74,53,81,0,60,76,0,42,26,64,45,63,49,90,81,92,87,98,95,95,90,85,77,96,92,0,0,91,83,94,89,0,0,11,9,9,11,9,3,9,7,11,2,11,2,3,3,6,7,10,8,6,9,1,7,8,1,5,3,7,5,7,5,10,9,10,9,11,11,11,10,9,8,11,10,1,1,10,9,10,9,1,1,95 %ile,85 %ile,83 %ile,96 %ile,80 %ile,21 %ile,84 %ile,68 %ile,95 %ile,17 %ile,95 %ile,14 %ile,25 %ile,26 %ile,56 %ile,68 %ile,93 %ile,74 %ile,53 %ile,81 %ile,0 %ile,60 %ile,76 %ile,0 %ile,42 %ile,26 %ile,64 %ile,45 %ile,63 %ile,49 %ile,90 %ile,81 %ile,92 %ile,87 %ile,98 %ile,95 %ile,95 %ile,90 %ile,85 %ile,77 %ile,96 %ile,92 %ile,0 %ile,0 %ile,91 %ile,83 %ile,94 %ile,89 %ile,0 %ile,0 %ile,801944.000000000000000,0,0,0,8,7,0.043117791,8.8562E-05
52800,36067005200,NEW YORK,NY,Onondaga County,2,1856,1856,1164,700,902,782,1856,3.362131735854072,2.668610093669729,1786,0.962284483,1207,0.650323276,61,0.078005115,373,0.200969828,0,0,334,0.286941581,66,0.035560345,147,0.079202586,0.243076923,6.748883060109290,55.704880000000003,0.235022426,1188.502373016580350,2055639.987292500911281,516.000000000000000,0.572062084,0.352006577,0.466870726,6.929660770095557,5.305488536595130,244.624069206380796,11.088451319284390,0,47.069844301957012,37.360541311376210,87.415425132205868,69.383862435412951,245.435616717347273,194.808536837890216,208.452167622952459,165.453825807523202,245.435616717347273,194.808536837890216,275.694802340033903,218.826027680917775,265.608407132471712,210.820197399908579,205.090035887098395,162.785215713853461,285.781197547596150,226.831857961926971,272.332670604179839,216.157417587248062,208.452167622952459,165.453825807523202,275.694802340033903,218.826027680917775,0,0,96,92,94,94,77,85,0,93,25,11,88,14,26,73,62,73,82,79,61,85,81,62,82,0,44,29,67,52,95,93,93,89,95,92,97,95,97,95,90,86,98,96,97,94,92,89,97,94,0,0,11,10,10,10,8,9,1,10,3,2,9,2,3,8,7,8,9,8,7,9,9,7,9,1,5,3,7,6,11,10,10,9,11,10,11,11,11,11,10,9,11,11,11,10,10,9,11,10,1,1,96 %ile,92 %ile,94 %ile,94 %ile,77 %ile,85 %ile,0 %ile,93 %ile,25 %ile,11 %ile,88 %ile,14 %ile,26 %ile,73 %ile,62 %ile,73 %ile,82 %ile,79 %ile,61 %ile,85 %ile,81 %ile,62 %ile,82 %ile,0 %ile,44 %ile,29 %ile,67 %ile,52 %ile,95 %ile,93 %ile,93 %ile,89 %ile,95 %ile,92 %ile,97 %ile,95 %ile,97 %ile,95 %ile,90 %ile,86 %ile,98 %ile,96 %ile,97 %ile,94 %ile,92 %ile,89 %ile,97 %ile,94 %ile,0 %ile,0 %ile,693127.000000000000000,0,0,0,10,10,0.03871026,7.65555E-05
52801,36067005300,NEW YORK,NY,Onondaga County,2,2049,1904,1360,712,863,929,1904,3.602425263986889,3.162964507252247,1801,0.878965349,1504,0.789915966,157,0.168998924,327,0.171743697,141,0.198033708,265,0.194852941,107,0.052220595,299,0.145924841,0.287179487,6.741412021857920,55.745860000000000,0.242144073,1103.288465833869168,2616364.907801896799356,735.000000000000000,0.851680185,0.315671455,0.426619242,7.637136346861094,6.684638641640700,181.591924458346313,13.166535004414420,0,50.433953695816449,44.281503101531456,93.663056863659108,82.237077188558416,266.579469535029773,234.059373536666271,219.747941103200219,192.940834942387056,284.591595854964226,249.874196072927504,349.435250606728232,306.807557203467979,277.386745326990479,243.548267058423022,212.543090575226444,186.614905927882575,313.410997966859327,275.177912130945515,306.206147438885580,268.851983116440977,216.145515839213346,189.777870435134815,331.423124286793779,290.992734667206719,0,0,98,97,88,98,96,75,94,82,49,40,98,14,26,74,61,79,97,77,59,87,85,60,92,0,46,34,70,61,97,96,94,93,98,97,99,99,98,97,91,90,99,98,98,98,93,92,99,98,0,0,11,11,9,11,11,8,10,9,5,5,11,2,3,8,7,8,11,8,6,9,9,7,10,1,5,4,8,7,11,11,10,10,11,11,11,11,11,11,10,10,11,11,11,11,10,10,11,11,1,1,98 %ile,97 %ile,88 %ile,98 %ile,96 %ile,75 %ile,94 %ile,82 %ile,49 %ile,40 %ile,98 %ile,14 %ile,26 %ile,74 %ile,61 %ile,79 %ile,97 %ile,77 %ile,59 %ile,87 %ile,85 %ile,60 %ile,92 %ile,0 %ile,46 %ile,34 %ile,70 %ile,61 %ile,97 %ile,96 %ile,94 %ile,93 %ile,98 %ile,97 %ile,99 %ile,99 %ile,98 %ile,97 %ile,91 %ile,90 %ile,99 %ile,98 %ile,98 %ile,98 %ile,93 %ile,92 %ile,99 %ile,98 %ile,0 %ile,0 %ile,695617.000000000000000,0,0,0,10,10,0.038291879,7.68298E-05
52802,36067005400,NEW YORK,NY,Onondaga County,2,2559,2525,1441,843,1188,975,2551,3.409322291213949,2.754476222205327,2287,0.89370848,1792,0.70970297,198,0.203076923,601,0.235593885,27,0.03202847,262,0.181818182,166,0.064869089,263,0.102774521,0.255384615,6.722648087431690,55.681229999999999,0.138220389,849.048584584935497,2504611.331857807002962,1066.000000000000000,0.897306397,0.255958235,0.395408076,5.946535186020124,1.536621028940387,152.075698992288750,12.375772005510589,0,44.321189785781343,35.808190888669245,88.642379571562685,71.616381777338489,146.600858522199815,118.442477554829040,190.922048307981157,154.250668443498284,265.927138714688056,214.849145332015468,334.113584538967018,269.938669776121969,252.289849549832240,203.831240443194162,194.331370599195111,157.005144665703597,279.564427879543871,225.867050220836774,187.512726016767203,151.496192221292972,197.740692890409065,159.759620887908937,303.429683918041519,245.148383776274045,0,0,97,93,89,96,98,92,65,80,67,19,92,13,26,43,56,78,98,74,57,82,55,58,89,0,42,28,68,54,80,77,91,86,97,95,99,98,96,94,89,85,98,96,88,84,91,88,98,96,0,0,11,10,9,11,11,10,7,9,7,2,10,2,3,5,6,8,11,8,6,9,6,6,9,1,5,3,7,6,9,8,10,9,11,11,11,11,11,10,9,9,11,11,9,9,10,9,11,11,1,1,97 %ile,93 %ile,89 %ile,96 %ile,98 %ile,92 %ile,65 %ile,80 %ile,67 %ile,19 %ile,92 %ile,13 %ile,26 %ile,43 %ile,56 %ile,78 %ile,98 %ile,74 %ile,57 %ile,82 %ile,55 %ile,58 %ile,89 %ile,0 %ile,42 %ile,28 %ile,68 %ile,54 %ile,80 %ile,77 %ile,91 %ile,86 %ile,97 %ile,95 %ile,99 %ile,98 %ile,96 %ile,94 %ile,89 %ile,85 %ile,98 %ile,96 %ile,88 %ile,84 %ile,91 %ile,88 %ile,98 %ile,96 %ile,0 %ile,0 %ile,747726.000000000000000,0,0,0,10,9,0.039375842,8.25756E-05
